STATE,DISTRICT,Year,Rape,"Kidnapping and Abduction","Dowry Deaths","Assault on women with intent to outrage her modesty","Insult to modesty of Women","Cruelty by Husband or his Relatives","Importation of Girls"
INDIA,TOTAL,2001,15694,13681,6738,33622,9656,49032,114
INDIA,TOTAL,2002,15970,13613,6687,33497,10027,49102,76
INDIA,TOTAL,2003,15357,12499,6078,32450,12220,49492,46
INDIA,TOTAL,2004,17682,14697,6900,33966,9871,56867,89
INDIA,TOTAL,2005,17701,14644,6673,33413,9759,56995,148
INDIA,TOTAL,2006,18725,16348,7481,35899,9822,61400,67
INDIA,TOTAL,2007,20139,19249,7955,37866,10783,74143,61
INDIA,TOTAL,2008,21001,21803,8043,39802,12084,79957,67
INDIA,TOTAL,2009,20928,24086,8242,38159,10891,88263,48
INDIA,TOTAL,2010,21665,28055,8248,40012,9881,92637,36
INDIA,TOTAL,2011,23634,33480,8476,42311,8408,97560,80
INDIA,TOTAL,2012,24217,36102,8099,44624,8965,104542,59
INDIA,TOTAL,2013,33707,51881,8083,70739,12589,118866,31
INDIA,TOTAL,2014,38678,17326,8458,82411,9738,123163,14
